Zaman,Van,Muğla,Adana,Ankara,İstanbul,İzmir
2024,"1,118,087","1,081,867","2,280,484","5,864,049","15,701,602","4,493,242"
2023,"1,127,612","1,066,736","2,270,298","5,803,482","15,655,924","4,479,525"
2022,"1,128,749","1,048,185","2,274,106","5,782,285","15,907,951","4,462,056"
2021,"1,141,015","1,021,141","2,263,373","5,747,325","15,840,900","4,425,789"
2020,"1,149,342","1,000,773","2,258,718","5,663,322","15,462,452","4,394,694"
2019,"1,136,757","983,142","2,237,940","5,639,076","15,519,267","4,367,251"
2018,"1,123,784","967,487","2,220,125","5,503,985","15,067,724","4,320,519"
2017,"1,106,891","938,751","2,216,475","5,445,026","15,029,231","4,279,677"
2016,"1,100,190","923,773","2,201,670","5,346,518","14,804,116","4,223,545"
2015,"1,096,397","908,877","2,183,167","5,270,575","14,657,434","4,168,415"
2014,"1,085,542","894,509","2,165,595","5,150,072","14,377,018","4,113,072"
2013,"1,070,113","866,665","2,149,260","5,045,083","14,160,467","4,061,074"
2012,"1,051,975","851,145","2,125,635","4,965,542","13,854,740","4,005,459"
2011,"1,022,532","838,324","2,108,805","4,890,893","13,624,240","3,965,232"
2010,"1,035,418","817,503","2,085,225","4,771,716","13,255,685","3,948,848"
2009,"1,022,310","802,381","2,062,226","4,650,802","12,915,158","3,868,308"
2008,"1,004,369","791,424","2,026,319","4,548,939","12,697,164","3,795,978"
2007,"979,671","766,156","2,006,650","4,466,756","12,573,836","3,739,353"
2000,"877,524","715,328","1,849,478","4,007,860","10,018,735","3,370,866"
1990,"637,433","562,809","1,934,907","3,236,626","7,309,190","2,694,770"
1985,"547,216","486,290","1,725,940","3,306,327","5,842,985","2,317,829"
1980,"468,646","438,145","1,485,743","2,854,689","4,741,890","1,976,763"
1975,"386,314","400,796","1,240,475","2,585,293","3,904,588","1,673,966"
1970,"325,763","368,776","1,035,377","2,041,658","3,019,032","1,427,173"
1965,"266,840","334,973","902,712","1,644,302","2,293,823","1,234,667"
1960,"211,034","299,611","760,803","1,321,380","1,882,092","1,063,490"
1955,"175,250","267,579","628,505","1,120,864","1,533,822","910,496"
1950,"145,944","241,640","508,518","819,693","1,166,477","768,411"
1945,"127,858","220,678","418,740","695,526","1,078,399","673,581"
1940,"112,975","211,445","375,777","602,965","991,237","640,107"
1935,"143,434","196,772","383,645","534,025","883,599","596,850"
1927,"75,329","175,390","227,718","404,720","794,444","526,005"
