observation_date,SPDYNLE00INTUR
1960-01-01,50.799
1961-01-01,51.558
1962-01-01,52.347
1963-01-01,53.120
1964-01-01,53.600
1965-01-01,54.105
1966-01-01,54.570
1967-01-01,55.183
1968-01-01,55.639
1969-01-01,56.179
1970-01-01,56.702
1971-01-01,57.223
1972-01-01,57.971
1973-01-01,58.455
1974-01-01,59.019
1975-01-01,59.513
1976-01-01,60.014
1977-01-01,60.846
1978-01-01,61.614
1979-01-01,62.161
1980-01-01,62.739
1981-01-01,63.194
1982-01-01,63.740
1983-01-01,64.269
1984-01-01,64.810
1985-01-01,65.344
1986-01-01,65.870
1987-01-01,66.379
1988-01-01,66.902
1989-01-01,67.365
1990-01-01,67.835
1991-01-01,68.287
1992-01-01,68.603
1993-01-01,69.018
1994-01-01,69.402
1995-01-01,69.734
1996-01-01,70.245
1997-01-01,70.668
1998-01-01,71.144
1999-01-01,70.752
2000-01-01,71.931
2001-01-01,72.271
2002-01-01,72.605
2003-01-01,72.906
2004-01-01,73.223
2005-01-01,73.510
2006-01-01,73.804
2007-01-01,74.129
2008-01-01,74.380
2009-01-01,74.679
2010-01-01,74.964
2011-01-01,74.823
2012-01-01,75.552
2013-01-01,76.171
2014-01-01,76.452
2015-01-01,76.539
2016-01-01,76.595
2017-01-01,77.037
2018-01-01,77.454
2019-01-01,77.737
2020-01-01,76.525
2021-01-01,75.722
2022-01-01,77.591
2023-01-01,77.156
